x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10
627.398,652.603,287.410,603.747,181.256,597.405,295.640,412.525,190.009,361.159,645.712,297.253,370.378,193.131,156.331,189.740,513.892,105.604,nan,nan
625.526,658.631,287.671,603.344,181.209,597.510,294.389,412.287,189.339,361.449,645.292,296.979,369.627,192.854,156.213,189.605,518.022,101.705,nan,nan
623.822,662.794,285.121,603.438,180.589,598.625,295.066,412.401,189.737,360.928,644.638,296.907,370.909,192.995,155.923,190.215,516.495,99.044,nan,nan
621.291,662.780,281.900,607.391,179.285,597.544,296.641,412.299,189.685,360.793,643.997,295.892,371.151,193.129,155.743,189.979,520.324,96.843,nan,nan
619.843,663.530,284.661,606.742,178.701,594.067,298.221,412.672,188.915,361.330,643.751,296.155,370.749,192.769,155.590,189.747,521.211,95.635,nan,nan
618.422,663.953,284.502,607.696,177.685,591.953,299.465,413.793,189.652,360.323,643.455,296.013,371.057,192.812,155.652,189.783,522.275,95.288,nan,nan
617.654,663.933,285.096,608.171,177.058,588.594,298.357,413.923,189.689,360.309,643.168,295.749,371.852,193.286,155.652,189.783,522.673,94.236,nan,nan
617.021,663.735,285.403,608.478,176.750,589.069,296.885,412.746,189.393,360.227,642.221,295.027,370.225,192.241,156.739,191.717,522.815,93.391,nan,nan
616.341,663.907,286.022,608.584,176.595,588.205,296.384,412.170,188.901,360.776,636.897,290.509,370.706,192.423,156.739,191.717,523.283,92.943,nan,nan
615.872,663.850,286.636,608.956,177.090,589.347,297.034,411.676,186.582,362.815,632.284,287.786,370.726,192.413,156.402,191.084,523.514,92.401,nan,nan
615.456,663.527,286.408,609.152,177.049,589.375,295.441,411.648,187.656,363.326,626.429,285.002,371.014,192.507,156.575,190.926,524.036,93.282,nan,nan
615.133,663.510,287.252,609.171,176.744,588.007,296.581,411.122,189.027,363.028,620.106,282.380,370.853,192.525,156.284,190.830,524.558,93.256,nan,nan
614.425,663.365,288.330,608.786,176.608,587.646,295.613,411.441,188.594,363.271,615.228,281.953,371.131,192.611,155.591,190.053,524.616,92.876,nan,nan
613.972,663.780,287.760,609.235,176.606,587.662,296.911,411.052,189.592,362.530,610.794,281.055,372.069,192.604,155.797,189.288,525.019,93.265,nan,nan
613.637,663.893,287.960,609.488,176.606,587.662,296.315,411.143,188.519,363.059,608.310,281.038,370.460,191.903,156.498,187.175,526.987,91.936,nan,nan
610.803,664.984,288.826,609.385,176.606,587.662,297.000,410.940,188.921,362.584,606.705,281.054,367.123,192.385,157.134,186.806,527.803,85.597,nan,nan
607.450,665.933,289.105,609.497,176.630,587.528,297.207,410.846,188.554,363.043,604.898,280.624,366.335,195.481,158.216,187.065,527.516,81.362,nan,nan
603.209,666.784,289.135,610.239,176.687,587.601,297.291,410.780,188.871,362.540,603.603,280.576,364.369,196.839,160.565,186.201,528.587,78.092,nan,nan
599.908,667.059,286.961,612.839,176.943,587.708,296.821,410.936,189.588,362.018,602.876,280.654,362.606,196.488,161.576,185.876,529.191,78.273,nan,nan
598.186,666.654,286.275,614.721,177.040,588.102,298.070,410.515,189.669,362.010,602.247,280.906,361.558,196.777,162.429,185.657,529.099,78.652,nan,nan
596.846,666.651,287.447,615.288,176.943,587.708,298.070,410.515,189.575,362.009,601.119,280.772,360.674,196.990,163.513,185.000,528.974,78.702,nan,nan
595.336,666.720,287.380,616.375,177.040,588.102,296.862,410.844,189.372,362.187,600.432,280.992,360.256,197.314,163.677,184.877,528.908,76.980,nan,nan
